timestamp;session;current;volt;soc;mwh;mode;charge phase;charge time;temperature;fault flags;flags;charge limit;startup count;harge profile
14980.965;;0.715;;;;;;;;;;;;
14991.963;;0.731;;;;;;;;;;;;
15006.962;;1.090;;;;;;;;;;;;
15017.965;;0.730;;;;;;;;;;;;
15048.965;4239;0.736;5.17;79;713377;1;0;0;29.8;0;7;88
15286.963;;1.087;;;;;;;;;;;;
15297.963;;0.738;;;;;;;;;;;;
15333.964;;0.721;;;;;;;;;;;;
15344.965;;0.735;;;;;;;;;;;;
15356.965;;1.080;;;;;;;;;;;;
15367.965;;0.736;;;;;;;;;;;;
15378.965;;1.087;;;;;;;;;;;;
15389.963;;0.738;;;;;;;;;;;;
15413.965;;0.724;;;;;;;;;;;;
15443.965;;0.737;;;;;;;;;;;;
15483.965;;0.726;;;;;;;;;;;;
15510.965;;0.737;;;;;;;;;;;;
15538.965;4239;0.731;5.16;80;713905;1;0;0;29.8;0;7;88
15567.963;;0.718;;;;;;;;;;;;
15578.966;;0.734;;;;;;;;;;;;
15795.965;4239;0.737;5.16;81;714176;1;0;0;29.8;0;7;89
16022.966;4239;0.738;5.17;82;714415;1;0;0;29.8;0;7;89
16247.963;4239;0.738;5.16;83;714653;1;0;0;28.8;0;7;89
16259.963;;0.718;;;;;;;;;;;;
16270.965;;0.732;;;;;;;;;;;;
16475.965;4239;0.733;5.16;84;714892;1;0;0;29.8;0;7;89
16694.963;4239;0.738;5.17;85;715122;1;0;0;28.8;0;7;89
16912.963;4239;0.739;5.17;86;715353;1;0;0;29.8;0;7;89
17130.965;4239;0.738;5.16;87;715583;1;0;0;28.8;0;7;89
17367.963;4239;0.738;5.16;88;715834;1;0;0;28.8;0;7;89
17584.963;4239;0.741;5.17;89;716063;1;0;0;28.8;0;7;89
17797.963;4239;0.267;5.22;90;716289;1;0;0;29.8;0;7;89
